Date,Predicted_Close
2024-08-04,4.2620907
2024-08-05,4.097077
2024-08-06,3.9029605
2024-08-07,3.7650776
2024-08-08,3.660327
2024-08-09,3.6679363
2024-08-10,3.7298434
2024-08-11,3.8155384
2024-08-12,3.8546975
2024-08-13,3.8986413
2024-08-14,3.9323106
2024-08-15,3.9343574
2024-08-16,3.9042048
2024-08-17,3.859589
2024-08-18,3.82355
2024-08-19,3.7958567
2024-08-20,3.789193
2024-08-21,3.8001995
2024-08-22,3.8418121
2024-08-23,3.918764
2024-08-24,4.0477815
2024-08-25,4.187928
2024-08-26,4.29675
2024-08-27,4.3316774
2024-08-28,4.2834806
2024-08-29,4.1832023
2024-08-30,4.0692964
2024-08-31,3.9670484
2024-09-01,3.8777735
2024-09-02,3.7794578
2024-09-03,3.713294
2024-09-04,3.6552684
2024-09-05,3.6189134
2024-09-06,3.5960786
2024-09-07,3.5718842
2024-09-08,3.5626032
2024-09-09,3.5728333
2024-09-10,3.6233897
2024-09-11,3.6982048
2024-09-12,3.765222
2024-09-13,3.8244846
2024-09-14,3.8797703
2024-09-15,3.9122095
2024-09-16,3.8922908
2024-09-17,3.8391821
2024-09-18,3.7833169
2024-09-19,3.756895
2024-09-20,3.766154
2024-09-21,3.8084698
2024-09-22,3.8778336
2024-09-23,3.9288685
2024-09-24,3.9659607
2024-09-25,4.003902
2024-09-26,4.0488553
2024-09-27,4.1155
2024-09-28,4.199005
2024-09-29,4.2671986
2024-09-30,4.3076715
2024-10-01,4.2812405
2024-10-02,4.179737
2024-10-03,4.0509205
2024-10-04,3.932177
2024-10-05,3.8516302
2024-10-06,3.8030624
2024-10-07,3.7943208
2024-10-08,3.8130345
2024-10-09,3.8317966
2024-10-10,3.8271728
2024-10-11,3.815291
2024-10-12,3.8086379
2024-10-13,3.8108346
2024-10-14,3.8099265
2024-10-15,3.8538215
2024-10-16,3.9067488
2024-10-17,3.9486046
2024-10-18,3.9593122
2024-10-19,3.970737
2024-10-20,3.9789336
2024-10-21,4.018018
2024-10-22,4.047377
2024-10-23,4.058138
2024-10-24,4.0368104
2024-10-25,4.008906
2024-10-26,3.9350019
2024-10-27,3.8520615
2024-10-28,3.7932851
2024-10-29,3.7680857
2024-10-30,3.779848
2024-10-31,3.8144474
2024-11-01,3.826492
2024-11-02,3.8133593
2024-11-03,3.7810664
2024-11-04,3.729392
2024-11-05,3.6639962
2024-11-06,3.6208944
2024-11-07,3.6487145
2024-11-08,3.7217026
2024-11-09,3.831912
2024-11-10,3.970135
2024-11-11,4.1324005
2024-11-12,4.303563
2024-11-13,4.4231563
2024-11-14,4.4646897
2024-11-15,4.4186277
2024-11-16,4.383074
2024-11-17,4.4471445
2024-11-18,4.493701
2024-11-19,4.5544114
2024-11-20,4.5969048
2024-11-21,4.5909033
2024-11-22,4.6056414
2024-11-23,4.6967344
2024-11-24,4.8872886
2024-11-25,5.15967
2024-11-26,5.3899593
2024-11-27,5.5511346
2024-11-28,5.707611
2024-11-29,5.8324375
2024-11-30,5.9733877
2024-12-01,6.260464
2024-12-02,6.5430207
2024-12-03,6.840467
2024-12-04,7.1046185
2024-12-05,7.4337664
2024-12-06,7.6743803
2024-12-07,7.8866515
2024-12-08,7.9922514
2024-12-09,8.028036
2024-12-10,7.7281737
2024-12-11,7.2930255
2024-12-12,6.9453325
2024-12-13,6.7166176
2024-12-14,6.603329
2024-12-15,6.525314
2024-12-16,6.535211
2024-12-17,6.563327
2024-12-18,6.554161
2024-12-19,6.4193873
2024-12-20,6.145469
2024-12-21,5.861581
2024-12-22,5.573366
2024-12-23,5.319429
2024-12-24,5.1883135
2024-12-25,5.196466
2024-12-26,5.255674
2024-12-27,5.2815614
2024-12-28,5.2787075
2024-12-29,5.30196
2024-12-30,5.292404
2024-12-31,5.261026
2025-01-01,5.2237983
2025-01-02,5.215964
2025-01-03,5.257908
2025-01-04,5.3795524
2025-01-05,5.52182
2025-01-06,5.6978903
2025-01-07,5.8720865
2025-01-08,5.905277
2025-01-09,5.8131485
2025-01-10,5.6535554
2025-01-11,5.5105047
2025-01-12,5.399114
